                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                   PG-1630+377       SiII     60.342     42.939         -25.363          10.814
                   PG-1630+377       SiIV     60.342     42.939         -33.526           9.645
                    PG0003+158       CII*    107.318    -45.326          -3.467           4.473
                    PG0003+158        CIV    107.318    -45.326          -2.024          10.664
                    PG0003+158       NiII    107.318    -45.326           3.599           4.360
                    PG0003+158        SII    107.318    -45.326          -3.221           3.574
                    PG0003+158       SiII    107.318    -45.326         -28.255           9.612
                    PG0003+158       SiIV    107.318    -45.326         -11.057           7.501
                    PG0052+251       CII*    123.907    -37.438           3.691           4.473
                    PG0052+251        CIV    123.907    -37.438         -19.215           7.109
                    PG0052+251         NV    123.907    -37.438          -5.570           1.206
                    PG0052+251       NiII    123.907    -37.438         -17.811           6.541
                    PG0052+251        SII    123.907    -37.438          -7.392           5.956
                    PG0052+251       SiIV    123.907    -37.438         -38.564           7.501
                    PG0804+761       CII*    138.279     31.033         -17.830           6.709
                    PG0804+761        CIV    138.279     31.033         -54.184          11.849
                    PG0804+761       NiII    138.279     31.033         -23.396           8.721
                    PG0804+761        SII    138.279     31.033          -4.459           5.956
                    PG0804+761       SiII    138.279     31.033         -34.339           9.612
                    PG0804+761       SiIV    138.279     31.033         -22.532           7.501
                    PG0832+251       CII*    199.491     33.146          -9.776           4.473
                    PG0832+251        CIV    199.491     33.146           3.782          10.664
                    PG0832+251         NV    199.491     33.146         -35.060           2.411
                    PG0832+251       NiII    199.491     33.146         -15.904           4.360
                    PG0832+251        SII    199.491     33.146         -12.812           4.765
                    PG0832+251       SiII    199.491     33.146          -7.797           7.209
                    PG0832+251       SiIV    199.491     33.146         -14.338           8.573
                    PG0953+414       CII*    179.786     51.709          -9.704           5.591
                    PG0953+414        CIV    179.786     51.709          -0.167          10.664
                    PG0953+414       NiII    179.786     51.709         -28.716           9.811
                    PG0953+414        SII    179.786     51.709          -3.722           5.956
                    PG0953+414       SiII    179.786     51.709         -34.742          10.814
                    PG0953+414       SiIV    179.786     51.709         -42.873          17.146
                    PG1001+291       CII*    200.083     53.207         -43.489           7.827
                    PG1001+291        CIV    200.083     53.207         -80.843          15.403
                    PG1001+291         NV    200.083     53.207         -50.132          15.673
                    PG1001+291       NiII    200.083     53.207         -46.453           7.631
                    PG1001+291        SII    200.083     53.207         -22.874           8.339
                    PG1001+291       SiIV    200.083     53.207         -62.495          10.716
