                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                    PG0832+251       SiIV    199.491     33.146         -16.300           8.800
                    PG0953+414       CII*    179.786     51.709          -2.450           5.050
                    PG0953+414        CIV    179.786     51.709           0.850          10.750
                    PG0953+414       NiII    179.786     51.709         -20.200           9.600
                    PG0953+414        SII    179.786     51.709          -7.100           5.800
                    PG0953+414       SiII    179.786     51.709         -29.350          10.850
                    PG0953+414       SiIV    179.786     51.709         -54.150          16.650
                    PG1001+291       CII*    200.083     53.207         -32.700           7.400
                    PG1001+291        CIV    200.083     53.207         -69.600          14.800
                    PG1001+291         NV    200.083     53.207         -40.250          15.450
                    PG1001+291       NiII    200.083     53.207         -46.250           7.850
                    PG1001+291        SII    200.083     53.207         -34.350           7.950
                    PG1001+291       SiIV    200.083     53.207         -59.900          11.100
