                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
                          IZW1        SII    123.749    -50.175         -13.433          15.125
                          IZW1       SiIV    123.749    -50.175         -40.414          13.395
                        KAZ238       CII*    110.965    -28.352          -3.315          14.360
                        KAZ238        CIV    110.965    -28.352         -27.299          14.274
                        KAZ238         NV    110.965    -28.352          20.668          13.740
                        KAZ238       NiII    110.965    -28.352         -60.276          14.452
                        KAZ238        SII    110.965    -28.352          -0.317          15.721
                        KAZ238       SiIV    110.965    -28.352         -24.301          13.645
                LBQS-1435-0134       CII*    348.718     51.375           1.469          14.203
                LBQS-1435-0134        CIV    348.718     51.375         -58.489          14.693
                LBQS-1435-0134       FeII    348.718     51.375           1.469           9.660
                LBQS-1435-0134         NV    348.718     51.375         -19.516          13.836
                LBQS-1435-0134       NiII    348.718     51.375          -4.527          13.871
                LBQS-1435-0134        SII    348.718     51.375           7.465          15.405
                LBQS-1435-0134       SiII    348.718     51.375         -19.516          15.238
                LBQS-1435-0134       SiIV    348.718     51.375         -25.512          13.837
                       MARK509       CII*     35.971    -29.855         -12.824          14.361
                       MARK509        CIV     35.971    -29.855          -0.832          14.534
                       MARK509       FeII     35.971    -29.855          -6.828          15.146
                       MARK509         NV     35.971    -29.855          14.157          13.883
                       MARK509       NiII     35.971    -29.855          -0.832          13.769
                       MARK509        SII     35.971    -29.855          -6.828          15.672
                       MARK509       SiII     35.971    -29.855          -3.830          16.382
                       MARK509       SiIV     35.971    -29.855          -0.832          13.864
                    MR2251-178       CII*     46.197    -61.326           7.922          14.033
                    MR2251-178        CIV     46.197    -61.326          22.911          14.239
                    MR2251-178         NV     46.197    -61.326          19.913          13.309
                    MR2251-178       NiII     46.197    -61.326          10.920          13.545
                    MR2251-178        SII     46.197    -61.326          13.917          15.473
                    MR2251-178       SiII     46.197    -61.326          19.913          14.977
                    MR2251-178       SiIV     46.197    -61.326          10.920          13.715
                      MRK-1044       CII*    179.695    -60.477          -8.757          13.970
                      MRK-1044        CIV    179.695    -60.477         -89.701          14.270
                      MRK-1044         NV    179.695    -60.477         -50.728          13.154
                      MRK-1044       NiII    179.695    -60.477         -35.738          13.765
                      MRK-1044        SII    179.695    -60.477         -11.755          15.319
                      MRK-1044       SiII    179.695    -60.477         -20.749          14.650
                      MRK-1044       SiIV    179.695    -60.477         -56.724          13.471
                       MRK-335       CII*    108.763    -41.425          -5.716          14.194
                       MRK-335        CIV    108.763    -41.425          27.261          14.161
                       MRK-335         NV    108.763    -41.425         -23.704          13.409
                       MRK-335       NiII    108.763    -41.425         -11.712          13.448
                       MRK-335        SII    108.763    -41.425          -2.718          15.708
                       MRK-335       SiII    108.763    -41.425         -26.702          15.291
                       MRK-335       SiIV    108.763    -41.425           3.277          13.602
                        MRK106       CII*    161.139     42.880          -1.225          14.091
                        MRK106        CIV    161.139     42.880           4.771          13.898
                        MRK106         NV    161.139     42.880         -13.217          13.365
                        MRK106       NiII    161.139     42.880         -10.219          13.693
                        MRK106        SII    161.139     42.880          -1.225          15.365
                        MRK106       SiII    161.139     42.880          -1.225          15.109
                        MRK106       SiIV    161.139     42.880           1.773          13.330
                       MRK1148       CII*    123.093    -45.439           5.551          14.027
                       MRK1148        CIV    123.093    -45.439         -36.420          13.946
                       MRK1148       FeII    123.093    -45.439         -30.424          14.765
                       MRK1148       NiII    123.093    -45.439         -36.420          13.670
                       MRK1148        SII    123.093    -45.439          -6.440          15.785
                       MRK1148       SiII    123.093    -45.439         -18.432          14.974
                       MRK1148       SiIV    123.093    -45.439           5.551          13.414
                       MRK1179       CII*    148.895    -29.745          49.358          17.775
                       MRK1179        CIV    148.895    -29.745          22.377          16.352
                       MRK1179       FeII    148.895    -29.745         -49.573          16.375
                       MRK1179         NV    148.895    -29.745          -4.605          13.429
                       MRK1179        SII    148.895    -29.745          -7.602          15.151
                       MRK1179       SiIV    148.895    -29.745          19.379          13.941
                       MRK1392       CII*      2.754     50.264           3.986          14.410
                       MRK1392        CIV      2.754     50.264         -19.998          14.385
                       MRK1392       FeII      2.754     50.264          -2.010           9.512
                       MRK1392         NV      2.754     50.264         -14.002          13.575
                       MRK1392       NiII      2.754     50.264           0.988          13.984
                       MRK1392        SII      2.754     50.264         -19.998          15.313
                       MRK1392       SiII      2.754     50.264         -17.000          15.311
                       MRK1392       SiIV      2.754     50.264         -14.002          13.781
                       MRK1513       CII*     63.670    -29.070         -38.744          15.755
                       MRK1513        CIV     63.670    -29.070           9.222          14.401
                       MRK1513         NV     63.670    -29.070           0.229          13.611
                       MRK1513       NiII     63.670    -29.070           0.229          13.905
                       MRK1513        SII     63.670    -29.070          -5.767          15.438
                       MRK1513       SiII     63.670    -29.070         -14.761          14.988
                       MRK1513      SiIII     63.670    -29.070          15.218          14.093
                       MRK1513       SiIV     63.670    -29.070           6.225          13.767
                        MRK290       CII*     91.489     47.954         -23.150          14.060
                        MRK290        CIV     91.489     47.954         -11.158          14.153
                        MRK290         NV     91.489     47.954           0.834          13.476
                        MRK290       NiII     91.489     47.954         -11.158          13.725
                        MRK290        SII     91.489     47.954         -23.150          15.199
                        MRK290       SiII     91.489     47.954         -17.154          15.351
                        MRK290       SiIV     91.489     47.954        -104.094          13.533
                        MRK304        CIV     75.989    -34.222           6.994          14.543
                        MRK304       NiII     75.989    -34.222         -10.993          13.906
                        MRK304       SiII     75.989    -34.222         -28.981          15.358
                        MRK304       SiIV     75.989    -34.222         -40.973          13.849
                        MRK817       CII*    100.300     53.478         -30.874          13.756
                        MRK817        CIV    100.300     53.478         -63.851          14.138
                        MRK817         NV    100.300     53.478        -129.805          13.768
                        MRK817       NiII    100.300     53.478         -27.876          13.825
                        MRK817        SII    100.300     53.478           2.104          15.151
                        MRK817       SiII    100.300     53.478          11.097          14.760
                        MRK817       SiIV    100.300     53.478         -90.832          13.589
                        MRK841       CII*     11.209     54.632          -7.120          14.452
                        MRK841        CIV     11.209     54.632         -37.099          14.649
                        MRK841         NV     11.209     54.632         -76.072          13.967
                        MRK841       NiII     11.209     54.632         -19.111          14.179
                        MRK841        SII     11.209     54.632         -10.118          15.248
                        MRK841       SiIV     11.209     54.632         -34.101          14.089
                        MRK876       CII*     98.269     40.376         -32.531          14.224
                        MRK876        CIV     98.269     40.376         -11.546          14.257
                        MRK876       FeII     98.269     40.376         -14.544          14.802
                        MRK876         NV     98.269     40.376           3.444          13.564
                        MRK876       NiII     98.269     40.376         -23.537          13.992
                        MRK876        SII     98.269     40.376         -14.544          15.526
                        MRK876       SiII     98.269     40.376         -14.544          15.070
                        MRK876       SiIV     98.269     40.376          -8.548          13.702
                      NGC-3516       CII*    133.236     42.403         -54.692          14.274
                      NGC-3516        CIV    133.236     42.403         -36.705          13.941
                      NGC-3516       FeII    133.236     42.403        -105.657          13.347
                      NGC-3516         NV    133.236     42.403          -0.730          13.743
                      NGC-3516       NiII    133.236     42.403         -57.690          13.921
                      NGC-3516        SII    133.236     42.403          -6.726          15.553
                      NGC-3516       SiII    133.236     42.403         -30.709          15.354
                      NGC-3516       SiIV    133.236     42.403         -54.692          13.371
                      NGC-3783       CII*    287.456     22.948         -28.587          15.130
                      NGC-3783        CIV    287.456     22.948          10.386          14.352
                      NGC-3783         NV    287.456     22.948          25.376          13.707
                      NGC-3783       NiII    287.456     22.948         -13.597          14.135
                      NGC-3783        SII    287.456     22.948         -28.587          15.749
                      NGC-3783       SiII    287.456     22.948           7.388          15.221
                      NGC-3783       SiIV    287.456     22.948          25.376          13.777
                      NGC-4051       CII*    148.883     70.085         -11.010          14.089
                      NGC-4051       FeII    148.883     70.085         -55.979          14.645
                      NGC-4051       NiII    148.883     70.085         -14.008          13.959
                      NGC-4051        SII    148.883     70.085          -5.014          15.289
                      NGC-4051       SiII    148.883     70.085         -40.989          15.087
                      NGC-4051       SiIV    148.883     70.085         -17.006          13.676
                      NGC-5548       CII*     31.961     70.496          -8.074          13.827
                      NGC-5548        CIV     31.961     70.496         -77.026          14.442
                      NGC-5548       FeII     31.961     70.496         -65.035          14.484
                      NGC-5548         NV     31.961     70.496         -38.053          13.481
                      NGC-5548       NiII     31.961     70.496         -14.070          13.664
                      NGC-5548        SII     31.961     70.496          -5.076          15.296
                      NGC-5548       SiII     31.961     70.496         -38.053          15.349
                      NGC-5548       SiIV     31.961     70.496         -62.037          13.800
                      NGC-7469       CII*     83.099    -45.467          -5.978          14.045
                      NGC-7469        CIV     83.099    -45.467          38.991          14.061
                      NGC-7469         NV     83.099    -45.467         -23.966          12.973
                      NGC-7469       NiII     83.099    -45.467         -14.972          13.705
                      NGC-7469        SII     83.099    -45.467          -8.976          15.214
                      NGC-7469       SiII     83.099    -45.467         -20.968          14.552
                      NGC-7469       SiIV     83.099    -45.467         -26.964          13.512
                       NGC-985       CII*    180.837    -59.490          -5.999          14.020
                       NGC-985        CIV    180.837    -59.490         -35.978          14.040
                       NGC-985         NV    180.837    -59.490         -35.978          13.289
                       NGC-985       NiII    180.837    -59.490         -17.991          13.738
                       NGC-985        SII    180.837    -59.490          -5.999          15.262
                       NGC-985       SiII    180.837    -59.490         -23.986          14.874
                       NGC-985       SiIV    180.837    -59.490         -23.986          13.393
                       NGC7714        CIV     88.216    -55.564          29.437          13.937
                       NGC7714       FeII     88.216    -55.564          26.439           9.249
